鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
萬華區,房地(土地+建物),臺北市萬華區西園路二段３２０巷３６弄３６號,17.51,住,,,1120810,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0601012,48.6,0,3,2,有,無,9000000,185185,,0.0,0,其他增建；,RPUNMLKMQHIGFBA87DA,48.6,0.0,0.0,無,0176
內湖區,土地,康寧段四小段436-1地號,319.25,都市：其他:道路用地(公共設施用地)。64/7/8,,,1120823,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,23847975,74700,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPRNMLQLQHIGFCA18DA,0.0,0.0,0.0,無,0177
大安區,房地(土地+建物)+車位,臺北市大安區敦化南路一段２２５號八樓之６,7.72,住,,,1120823,土地2建物1車位1,八層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0850725,78.29,0,0,0,無,有,23020000,294073,升降平面,0.0,0,,RPQNMLOJRHIGFFA08DA,34.88,0.9,6.92,有,
士林區,土地,芝山段一小段412-1地號,9.88,都市：其他:道路用地(公共設施用地)。65/11/23,,,1120824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,977625,98950,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPQOMLLJRHIGFEA77DA,0.0,0.0,0.0,無,0178
士林區,土地,芝山段一小段412-1地號,59.25,都市：其他:道路用地(公共設施用地)。65/11/23,,,1120824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5865750,99000,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPOPMLLJRHIGFEA67DA,0.0,0.0,0.0,無,0178
士林區,土地,芝山段一小段412-1地號,23.7,都市：其他:道路用地(公共設施用地)。65/11/23,,,1120825,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2346300,99000,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPUOMLLJRHIGFEA18DA,0.0,0.0,0.0,無,0178
中正區,土地,河堤段三小段420地號,13.12,都市：其他:道路用地(公共設施用地)。56/9/9,,,1120823,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1224563,93336,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPRNMLQLQHIGFAA97DA,0.0,0.0,0.0,無,0181
北投區,房地(土地+建物),臺北市北投區稻香路１３５巷９號二樓,35.82,住,,,1120805,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701214,107.61,3,2,1,有,無,11000000,102221,,0.0,0,,RPSNMLTLQHIGFEA78DA,97.38,0.0,10.23,無,
士林區,土地,芝山段一小段412-1地號,11.85,都市：其他:道路用地(公共設施用地)。65/11/23,,,1120824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1173150,99000,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPWPMLLJRHIGFEA48DA,0.0,0.0,0.0,無,0178
士林區,房地(土地+建物),臺北市士林區德行東路３２０號二樓,33.24,住,,,1120802,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710707,113.63,3,2,2,有,無,21300000,187450,,0.0,0,陽台外推；其他增建；,RPWNMLOKQHIGFEA58DA,99.88,0.0,13.75,無,
中山區,房地(土地+建物),臺北市中山區新生北路二段４１巷７之１號,18.94,住,,,1120813,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0570509,64.55,3,2,1,有,無,7500000,116189,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPJRHIGFCA87EA,64.55,0.0,0.0,無,
大安區,土地,大安段一小段402地號,33.0,都市：其他:道路用地(公共設施用地)。62/9/14,,,1120823,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4346100,131700,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPQNMLQLQHIGFFA38DA,0.0,0.0,0.0,無,
士林區,土地,芝山段一小段412-1地號,23.7,都市：其他:道路用地(公共設施用地)。65/11/23,,,1120824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2346300,99000,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPUQMLLJRHIGFEA38DA,0.0,0.0,0.0,無,0178
北投區,土地,開明段一小段428地號,11.45,都市：其他:道路用地(公共設施用地)。67/11/3,,,1120823,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,397785,34741,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPSNMLQLQHIGFEA48DA,0.0,0.0,0.0,無,0184
中正區,房地(土地+建物)+車位,臺北市中正區寧波東街６號六樓之２,49.84,住,,,1120801,土地1建物2車位2,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0741022,287.53000000000003,6,4,4,有,有,100000000,347790,坡道平面,0.0,0,,RPQNMLLJRHIGFAA37EA,178.1,0.0,16.14,有,
中山區,土地,吉林段三小段48地號,1.36,都市：其他:道路用地(公共設施用地)。54/9/11,,,1120824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,137415,101040,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPVNMLLJRHIGFCA97DA,0.0,0.0,0.0,無,0185
內湖區,房地(土地+建物),臺北市內湖區康寧路三段１２號五樓之１,10.13,商,,,1120808,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120104,83.88,2,2,1,有,有,21560000,257034,,0.0,0,,RPWOMLLJRHIGFCA18DA,51.68,2.48,3.57,有,
中山區,房地(土地+建物),臺北市中山區新生北路一段１１０號七樓之３,5.4,商,,,1120807,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0771216,43.89,1,0,1,有,有,8500000,193666,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLOJRHIGFCA77DA,29.93,1.01,1.96,有,
中山區,建物,臺北市中山區長春路２５８巷６號六樓之１,0.0,,,,1120801,土地0建物1車位0,六層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0850924,35.58,1,1,1,有,有,4900000,137718,,0.0,0,地上權房屋；,RPTNMLOJRHIGFCA08DA,22.69,0.97,3.6,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路二段５０８號七樓,36.04,住,,,1120814,土地3建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011123,222.78,3,2,2,有,有,44700000,220124,坡道平面,31.07,2500000,,RPRNMLOJRHIGFCA97EA,109.89,8.23,11.88,有,0186
大安區,土地,復興段一小段131地號,6.92,都市：其他:道路用地(公共設施用地)。48/3/13,,,1120824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,956299,138193,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPRNMLLJRHIGFFA87DA,0.0,0.0,0.0,無,0030
士林區,土地,芝山段一小段412-1地號,39.5,都市：其他:道路用地(公共設施用地)。65/11/23,,,1120824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3910500,99000,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPVPMLLJRHIGFEA38DA,0.0,0.0,0.0,無,0178
文山區,土地,興隆段二小段255-3地號,1166.0,都市：其他:道路用地(公共設施用地)。60/10/12,,,1120823,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,72615162,62277,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPPNMLQLQHIGFAA77DA,0.0,0.0,0.0,無,0189
